iter	RMSE
0	7.130726527
1	6.874411781
2	6.627581516
3	6.38918739
4	6.163831342
5	5.941053129
6	5.735219511
7	5.532993121
8	5.339968081
9	5.150698419
10	4.971050342
11	4.800418684
12	4.639457999
13	4.47986709
14	4.329111945
15	4.184354595
16	4.038983496
17	3.903384115
18	3.771264499
19	3.644754273
20	3.523378525
21	3.404881269
22	3.296512168
23	3.191429304
24	3.088512568
25	2.988119439
26	2.89391493
27	2.803583804
28	2.717551628
29	2.633690534
30	2.553614042
31	2.479681446
32	2.405604705
33	2.334497936
34	2.269886272
35	2.208022798
36	2.148296315
37	2.091179919
38	2.039223031
39	1.987473346
40	1.938668712
41	1.890823955
42	1.845847739
43	1.802310334
44	1.760404101
45	1.72129369
46	1.684471512
47	1.649689633
48	1.614406044
49	1.582941378
50	1.551155621
51	1.522717599
52	1.496189009
53	1.46858203
54	1.444465722
55	1.420677076
56	1.398037058
57	1.376580675
58	1.356933075
59	1.338245452
60	1.320547113
61	1.302680129
62	1.286270731
63	1.271090127
64	1.256833475
65	1.243112779
66	1.230346587
67	1.218014444
68	1.205551456
69	1.194348333
70	1.182961061
71	1.172847667
72	1.163723071
73	1.15555622
74	1.14745698
75	1.13958241
76	1.131411009
77	1.123510452
78	1.116835804
79	1.111482443
80	1.106288537
81	1.100717279
82	1.095529387
83	1.089459358
84	1.084756636
85	1.080184909
86	1.075659323
87	1.070790397
88	1.066295183
89	1.062234514
90	1.057688906
91	1.052990488
92	1.049309125
93	1.045952518
94	1.042486061
95	1.039349413
96	1.036040921
97	1.032730296
98	1.030317377
99	1.028103662
