iter	Passed	Remaining
0	31	3143
1	54	2648
2	77	2506
3	100	2422
4	124	2366
5	137	2153
6	160	2132
7	183	2113
8	210	2131
9	235	2115
10	261	2117
11	286	2101
12	312	2089
13	338	2081
14	364	2063
15	369	1939
16	395	1931
17	423	1929
18	451	1925
19	481	1927
20	509	1917
21	535	1900
22	561	1879
23	587	1859
24	613	1839
25	639	1820
26	665	1800
27	691	1776
28	718	1758
29	743	1734
30	768	1710
31	794	1687
32	820	1666
33	845	1642
34	871	1618
35	897	1595
36	922	1571
37	948	1548
38	974	1524
39	1003	1504
40	1028	1480
41	1053	1455
42	1080	1432
43	1105	1407
44	1131	1382
45	1156	1357
46	1182	1333
47	1208	1309
48	1234	1284
49	1260	1260
50	1286	1235
51	1310	1210
52	1335	1184
53	1359	1158
54	1384	1132
55	1409	1107
56	1433	1081
57	1459	1056
58	1484	1031
59	1509	1006
60	1533	980
61	1558	955
62	1585	931
63	1611	906
64	1636	881
65	1661	856
66	1686	830
67	1711	805
68	1735	779
69	1759	754
70	1784	728
71	1809	703
72	1833	678
73	1858	653
74	1883	627
75	1908	602
76	1944	580
77	1969	555
78	1993	529
79	2008	502
80	2032	476
81	2057	451
82	2082	426
83	2107	401
84	2131	376
85	2155	350
86	2181	325
87	2205	300
88	2230	275
89	2256	250
90	2287	226
91	2314	201
92	2341	176
93	2368	151
94	2396	126
95	2421	100
96	2446	75
97	2470	50
98	2496	25
99	2521	0
