Modelo,MAE,MSE,RMSE,Time
xgboost,0.593436517121591,0.7179878168429045,0.8473416175562867,0.021941184997558594
rf,0.6048107448107449,0.8148260683760682,0.902677167306268,0.16555213928222656
catboost,0.6053714504543953,0.740653589997369,0.8606123343279302,0.010971784591674805
et,0.6065201465201466,0.8143861416361415,0.9024334555168827,0.20844316482543945
lightgbm,0.6476813621009523,0.8214830178837564,0.9063570035497913,0.02293872833251953
dt,0.7219169719169719,1.5485347985347986,1.2444013816027362,0.006971836090087891
gbr,0.8143202615314993,1.1311030194910545,1.0635332714546615,0.017951488494873047
huber,0.8987509626429001,1.2618185007540377,1.1233069485915403,0.003142118453979492
br,0.8994018665880189,1.2502086017596812,1.1181272744011217,0.0069811344146728516
lr,0.8994097652908206,1.2502368868750637,1.1181399227623812,0.004977226257324219
ard,0.9002975213213167,1.2518655969285137,1.118867997991056,0.00797581672668457
omp,1.0244810940498665,1.527037834714379,1.235733723224538,0.0029904842376708984
knn,1.2175213675213679,2.4910256410256406,1.5782983371421389,0.7720904350280762
par,1.2283483833814925,2.464821978421285,1.5699751521668377,0.002991914749145508
ada,1.2758650334838475,2.357227544846658,1.5353265271096759,0.05187630653381348
gnb,1.2802197802197801,3.222832722832723,1.7952249783335577,0.026927471160888672
KRR,2.1829023418697586,9.604811132485798,3.099162972882484,0.35505080223083496
elastic,5.7868576775459,50.4282446297749,7.101284716850529,0.0029921531677246094
lasso,6.095978047695931,56.03121720070802,7.485400269905947,0.003990650177001953
dummy,6.166570134518853,57.33619326127339,7.572066644006337,0.0009908676147460938
lassolars,6.166570134518853,57.33619326127339,7.572066644006337,0.008976221084594727
