Modelo,MAE,MSE,RMSE,Time
rf,0.7855190238459142,0.9385297369977781,0.8834351524421749,112.82557845115662
xgboost,0.7857600134373705,0.925590202640015,0.8568896189657126,11.945589542388916
et,0.7941064553415458,0.9482348344476043,0.9009491601311079,37.55201053619385
lightgbm,0.8112395266347665,0.9433961373426427,0.8902596933449655,2.958089828491211
catboost,0.8671168291179562,0.9851744528918278,0.9707943833525832,40.32761597633362
dt,0.8672606512116138,1.1215377028816194,1.2579485711408127,1.1070754528045654
huber,0.949046480920636,1.0609918522748907,1.1259766842775873,3.193460702896118
ard,0.9500666585769052,1.0599034577068185,1.1236551049250496,0.4468045234680176
br,0.9501184943168198,1.060019457499096,1.1238990765952206,0.1984694004058838
lr,0.950127751458633,1.0600215175509655,1.123903511529307,0.14860320091247559
gbr,2.4445905554723697,2.7184973738443565,7.390401272834362,1.4941670894622803
