Age,Overall,Potential,Special,International_Reputation,Weak_Foot,Skill_Moves,Weight,DIV,HAN,KIC,REF,POS,Best_Overall_Rating,PAC,Preferred_Foot_Right
31,92,92,1487,5.0,4.0,1.0,92.08,91.0,90.0,95.0,91.0,89.0,90.0,58.0,1
26,91,93,1465,4.0,3.0,1.0,76.2,90.0,85.0,87.0,88.0,93.0,89.0,57.5,1
34,80,80,1451,3.0,3.0,1.0,79.83,79.0,80.0,86.0,76.0,79.0,78.0,56.0,1
23,85,89,1437,2.0,3.0,1.0,86.18,83.0,80.0,90.0,81.0,87.0,83.0,63.5,0
23,80,86,1368,1.0,3.0,1.0,77.11,77.0,79.0,86.0,76.0,84.0,79.0,45.5,0
26,84,86,1353,2.0,1.0,1.0,81.19,86.0,80.0,74.0,81.0,87.0,83.0,63.5,0
30,82,82,1351,2.0,3.0,1.0,88.9,82.0,78.0,83.0,79.0,87.0,81.0,60.0,1
25,70,74,1342,1.0,3.0,1.0,89.81,67.0,73.0,84.0,68.0,71.0,69.0,64.0,1
25,78,81,1341,1.0,4.0,1.0,82.1,78.0,74.0,84.0,76.0,80.0,77.0,52.5,1
28,84,85,1338,2.0,3.0,1.0,87.09,85.0,83.0,77.0,82.0,84.0,83.0,56.5,1
24,81,86,1336,2.0,3.0,1.0,94.8,83.0,79.0,71.0,81.0,85.0,80.0,56.5,1
39,89,89,1335,4.0,2.0,1.0,92.08,89.0,88.0,74.0,90.0,84.0,86.0,46.0,1
20,71,79,1318,1.0,2.0,1.0,92.08,70.0,69.0,77.0,70.0,71.0,70.0,42.5,1
30,77,77,1317,2.0,3.0,1.0,79.83,77.0,76.0,74.0,74.0,80.0,76.0,51.5,1
26,76,80,1316,1.0,3.0,1.0,73.03,74.0,73.0,73.0,74.0,82.0,75.0,58.0,1
30,88,88,1315,4.0,1.0,1.0,82.1,88.0,84.0,68.0,83.0,90.0,85.0,63.5,0
30,76,76,1308,1.0,3.0,1.0,82.1,80.0,71.0,68.0,72.0,79.0,75.0,56.5,1
30,85,85,1302,3.0,3.0,1.0,79.83,89.0,78.0,72.0,80.0,88.0,83.0,53.5,1
34,74,74,1300,1.0,4.0,1.0,83.01,74.0,72.0,74.0,74.0,76.0,73.0,49.0,1
25,89,92,1298,4.0,3.0,1.0,93.89,86.0,90.0,72.0,86.0,88.0,86.0,49.0,0
24,89,93,1297,3.0,3.0,1.0,83.91,85.0,91.0,77.0,87.0,88.0,87.0,51.5,1
28,82,83,1296,3.0,4.0,1.0,78.93,77.0,84.0,80.0,80.0,81.0,80.0,51.0,1
32,84,84,1295,3.0,2.0,1.0,83.91,83.0,80.0,79.0,83.0,84.0,82.0,52.5,1
34,83,83,1291,3.0,3.0,1.0,92.08,80.0,83.0,82.0,82.0,82.0,82.0,56.5,1
27,81,82,1290,2.0,2.0,1.0,83.91,86.0,82.0,76.0,76.0,80.0,80.0,51.0,1
25,82,87,1288,3.0,3.0,1.0,83.91,85.0,79.0,73.0,80.0,86.0,81.0,51.0,1
24,84,90,1288,3.0,3.0,1.0,91.17,82.0,81.0,83.0,83.0,86.0,83.0,39.5,1
